Model;Name;MAC;Session (UTC);Role;Round;Timestamp;Freq (Hz);Box Temp (℃);Sequence #
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:31.575133;2.929;24.85;215
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:31.879141;2.928;24.85;216
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:32.183112;2.934;24.85;217
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:32.583151;2.931;24.85;218
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:32.631224;2.929;24.85;219
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:32.842347;2.65;23.17;1201
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:33.286119;2.931;24.85;220
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:33.590188;2.934;24.85;221
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:33.865583;2.69;23.21;1202
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:34.006208;2.936;24.85;222
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:34.310174;2.928;24.85;223
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:34.614089;2.931;24.89;224
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:35.014150;2.928;24.89;225
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:35.318135;2.924;24.89;226
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:35.718196;2.931;24.89;227
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:36.022155;2.94;24.89;228
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:36.326129;2.934;24.89;229
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:36.726146;2.933;24.89;230
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:36.835654;2.69;23.23;1205
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:37.030214;2.931;24.85;231
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:37.430114;2.931;24.89;232
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:37.606198;2.941;24.89;233
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:37.859953;2.69;23.19;1206
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:38.438129;2.933;24.89;235
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:38.741158;2.929;24.89;236
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:38.883945;2.69;23.23;1207
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:39.157352;2.924;24.89;237
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:39.461113;2.933;24.89;238
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:39.765122;2.926;24.89;239
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:39.908058;2.69;23.21;1208
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:40.165220;2.933;24.89;240
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:40.469126;2.931;24.85;241
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:40.869285;2.926;24.89;242
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:40.931899;2.69;23.21;1209
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:41.173231;2.929;24.89;243
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:41.477113;2.933;24.89;244
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:41.877217;2.931;24.89;245
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:42.581150;2.933;24.85;247
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:42.629360;2.928;24.85;248
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:42.979601;2.66;23.19;1211
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:43.189219;2.934;24.85;249
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:43.589206;2.938;24.85;250
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:43.893142;2.926;24.85;251
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:44.004124;2.65;23.23;1212
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:44.309213;2.926;24.89;252
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:44.612166;2.922;24.89;253
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:44.916089;2.928;24.89;254
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:45.316158;2.931;24.89;255
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:45.620162;2.924;24.89;256
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:46.020174;2.924;24.89;257
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:46.324107;2.94;24.89;258
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:46.628149;2.924;24.89;259
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:46.973967;2.66;23.21;1215
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:47.028216;2.922;24.89;260
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:47.332160;2.94;24.89;261
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:47.620206;2.924;24.89;262
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:48.036146;2.921;24.89;263
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:48.340141;2.928;24.89;264
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:48.740135;2.933;24.89;265
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:49.024080;2.69;23.21;1217
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:49.044247;2.941;24.89;266
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:49.460155;2.936;24.85;267
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:23.798324;2.66;23.15;1136
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:24.822495;2.65;23.15;1137
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:25.744763;2.65;23.15;1138
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:26.767945;2.65;23.17;1139
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:28.816179;2.65;23.15;1141
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:29.840721;2.66;23.15;1142
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:30.863198;2.66;23.15;1143
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:31.889951;2.65;23.17;1144
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:32.809759;2.65;23.17;1145
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:33.837621;2.66;23.17;1146
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:34.858715;2.66;23.15;1147
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:35.881274;2.67;23.17;1148
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:36.906363;2.66;23.17;1149
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:37.928500;2.65;23.19;1150
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:38.954169;2.65;23.19;1151
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:39.978927;2.65;23.17;1152
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:40.898776;2.66;23.17;1153
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:41.922679;2.66;23.19;1154
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:42.946740;2.65;23.19;1155
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:43.970900;2.66;23.17;1156
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:44.994979;2.66;23.15;1157
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:46.018498;2.65;23.15;1158
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:47.042920;2.65;23.15;1159
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:47.964122;2.65;23.17;1160
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:48.988411;2.65;23.17;1161
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:50.015422;2.65;23.15;1162
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:51.038138;2.66;23.15;1163
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:52.062654;2.66;23.13;1164
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:53.085706;2.65;23.17;1165
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:54.109375;2.66;23.19;1166
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:56.054128;2.64;23.15;1168
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:57.078061;2.65;23.23;1169
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:58.102748;2.66;23.15;1170
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:18:59.125414;2.66;23.17;1171
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:00.150357;2.65;23.21;1172
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:01.175347;2.64;23.19;1173
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:02.198899;2.65;23.17;1174
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:03.119423;2.66;23.19;1175
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:04.144039;2.65;23.17;1176
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:05.167563;2.65;23.17;1177
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:09.598229;2.65;23.19;1178
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:10.621402;2.65;23.19;1179
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:11.645171;2.65;23.15;1180
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:12.668793;2.69;23.19;1181
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:13.693193;2.69;23.19;1182
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:14.614952;2.66;23.21;1183
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2025-11-20 11:19:16.662861;2.66;23.19;1185
